Disease,All_Symptoms
disease5,"itching,stomach_pain,burning_micturition,spotting_ urination"
disease5,"itching,skin_rash,burning_micturition,spotting_ urination"
disease5,"itching,skin_rash,stomach_pain,spotting_ urination"
disease5,"itching,skin_rash,stomach_pain,burning_micturition"
disease6,"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
disease6,"vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching"
disease6,"indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
disease6,"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
disease6,"vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching"
disease6,"vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching"
disease6,"vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching"
disease6,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases"
disease6,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
disease6,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
disease7,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts"
disease7,"patches_in_throat,high_fever,extra_marital_contacts"
disease7,"muscle_wasting,high_fever,extra_marital_contacts"
disease7,"muscle_wasting,patches_in_throat,extra_marital_contacts"
disease7,"muscle_wasting,patches_in_throat,high_fever"
disease7,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts"
disease7,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts"
disease7,"patches_in_throat,high_fever,extra_marital_contacts"
disease7,"muscle_wasting,high_fever,extra_marital_contacts"
disease7,"muscle_wasting,patches_in_throat,high_fever"
disease8,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
disease8,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
disease8,"weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
disease8,"fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
disease8,"fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
disease8,"fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
disease8,"fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria"
disease8,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria"
disease8,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria"
disease8,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria"
disease9,"vomiting,sunken_eyes,dehydration,diarrhoea"
disease9,"vomiting,sunken_eyes,dehydration,diarrhoea"
disease9,"sunken_eyes,dehydration,diarrhoea"
disease9,"vomiting,dehydration,diarrhoea"
disease9,"vomiting,sunken_eyes,diarrhoea"
disease9,"vomiting,sunken_eyes,dehydration"
disease9,"vomiting,sunken_eyes,dehydration,diarrhoea"
disease9,"sunken_eyes,dehydration,diarrhoea"
disease9,"vomiting,dehydration,diarrhoea"
disease9,"vomiting,sunken_eyes,diarrhoea"
disease10,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
disease10,"cough,high_fever,breathlessness,family_history,mucoid_sputum"
disease10,"fatigue,high_fever,breathlessness,family_history,mucoid_sputum"
disease10,"fatigue,cough,breathlessness,family_history,mucoid_sputum"
disease10,"fatigue,cough,high_fever,family_history,mucoid_sputum"
disease10,"fatigue,cough,high_fever,breathlessness,mucoid_sputum"
disease10,"fatigue,cough,high_fever,breathlessness,family_history"
disease10,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
disease10,"cough,high_fever,breathlessness,family_history,mucoid_sputum"
disease10,"fatigue,high_fever,breathlessness,family_history,mucoid_sputum"
disease11,"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration"
disease11,"chest_pain,dizziness,loss_of_balance,lack_of_concentration"
disease11,"headache,dizziness,loss_of_balance,lack_of_concentration"
disease11,"headache,chest_pain,loss_of_balance,lack_of_concentration"
disease11,"headache,chest_pain,dizziness,lack_of_concentration"
disease11,"headache,chest_pain,dizziness,loss_of_balance"
disease11,"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration"
disease11,"chest_pain,dizziness,loss_of_balance,lack_of_concentration"
disease11,"headache,dizziness,loss_of_balance,lack_of_concentration"
disease11,"headache,chest_pain,loss_of_balance,lack_of_concentration"
disease12,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
disease12,"indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
disease12,"acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
disease12,"acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
disease12,"acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
disease12,"acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances"
disease12,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances"
disease12,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances"
disease12,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances"
disease12,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability"
disease13,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
disease13,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
disease13,"weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
disease13,"back_pain,neck_pain,dizziness,loss_of_balance"
disease13,"back_pain,weakness_in_limbs,dizziness,loss_of_balance"
disease13,"back_pain,weakness_in_limbs,neck_pain,loss_of_balance"
disease13,"back_pain,weakness_in_limbs,neck_pain,dizziness"
disease13,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
disease13,"weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
disease13,"back_pain,neck_pain,dizziness,loss_of_balance"
disease14,"vomiting,headache,weakness_of_one_body_side,altered_sensorium"
disease14,"vomiting,headache,weakness_of_one_body_side,altered_sensorium"
disease14,"headache,weakness_of_one_body_side,altered_sensorium"
disease14,"vomiting,weakness_of_one_body_side,altered_sensorium"
disease14,"vomiting,headache,altered_sensorium"
disease14,"vomiting,headache,weakness_of_one_body_side"
disease14,"vomiting,headache,weakness_of_one_body_side,altered_sensorium"
disease14,"headache,weakness_of_one_body_side,altered_sensorium"
disease14,"vomiting,weakness_of_one_body_side,altered_sensorium"
disease14,"vomiting,headache,altered_sensorium"
disease15,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
disease15,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
disease15,"vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
disease15,"itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
disease15,"itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
disease15,"itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain"
disease15,"itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain"
disease15,"itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain"
disease15,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain"
disease15,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine"
disease16,"chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain"
disease16,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
disease16,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
disease16,"vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
disease16,"chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
disease16,"chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain"
disease16,"chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain"
disease16,"chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain"
disease16,"chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain"
disease16,"chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain"
disease17,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
disease17,"skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
disease17,"itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
disease17,"itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
disease17,"itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
disease17,"itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
disease17,"itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
disease17,"itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
disease17,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body"
disease17,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body"
disease18,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body"
disease18,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body"
disease18,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain"
disease18,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
disease18,"chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
disease18,"skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
disease18,"skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
disease18,"skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
disease18,"skin_rash,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
disease18,"skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
disease19,"chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
disease19,"chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
disease19,"chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
disease19,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain"
disease19,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain"
disease19,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain"
disease19,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos)"
disease19,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
disease19,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
disease19,"chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
disease20,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
disease20,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
disease20,"vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
disease20,"joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
disease20,"joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
disease20,"joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
disease20,"joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
disease20,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
disease20,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain"
disease20,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,mild_fever,yellowing_of_eyes,muscle_pain"
disease21,"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease21,"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease21,"fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease21,"itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease21,"itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease21,"itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease21,"itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease21,"itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease21,"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease21,"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections"
disease22,"fatigue,yellowish_skin,nausea,loss_of_appetite,family_history"
disease22,"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
disease22,"yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
disease22,"fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
disease22,"fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history"
disease22,"fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history"
disease22,"fatigue,yellowish_skin,nausea,loss_of_appetite,family_history"
disease22,"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes"
disease22,"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
disease22,"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
disease23,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease23,"vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease23,"joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease23,"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease23,"joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease23,"joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease23,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease23,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,abdominal_pain,yellowing_of_eyes"
disease23,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,yellowing_of_eyes"
disease23,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain"
disease24,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,coma,stomach_bleeding"
disease24,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
disease24,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
disease24,"vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
disease24,"joint_pain,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
disease24,"joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
disease24,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
disease24,"joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
disease24,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
disease24,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding"
disease25,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
disease25,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
disease25,"yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
disease25,"vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
disease25,"vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
disease25,"vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
disease25,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload"
disease25,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload"
disease25,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption"
disease25,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
disease26,"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease26,"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease26,"vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease26,"chills,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease26,"chills,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease26,"chills,vomiting,fatigue,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease26,"chills,vomiting,fatigue,weight_loss,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease26,"chills,vomiting,fatigue,weight_loss,cough,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease26,"chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease26,"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
disease27,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
disease27,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
disease27,"chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
disease27,"continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
